iter	Passed	Remaining
863	5341	840
864	5346	834
865	5351	828
866	5356	821
867	5361	815
868	5368	809
869	5376	803
870	5383	797
871	5390	791
872	5396	785
873	5405	779
874	5412	773
875	5419	767
876	5426	761
877	5432	754
878	5439	748
879	5445	742
880	5450	736
881	5455	729
882	5460	723
883	5466	717
884	5472	711
885	5479	704
886	5484	698
887	5489	692
888	5495	686
889	5501	679
890	5506	673
891	5512	667
892	5517	661
893	5523	654
894	5528	648
895	5534	642
896	5538	635
897	5543	629
898	5549	623
899	5554	617
900	5560	610
901	5566	604
902	5571	598
903	5577	592
904	5582	586
905	5588	579
906	5593	573
907	5598	567
908	5604	561
909	5608	554
910	5613	548
911	5619	542
912	5624	535
913	5629	529
914	5634	523
915	5639	517
916	5644	510
917	5649	504
918	5655	498
919	5660	492
920	5665	486
921	5670	479
922	5676	473
923	5681	467
924	5686	461
925	5691	454
926	5696	448
927	5701	442
928	5707	436
929	5711	429
930	5716	423
931	5723	417
932	5728	411
933	5732	405
934	5737	398
935	5741	392
936	5745	386
937	5750	380
938	5757	373
939	5763	367
940	5770	361
941	5775	355
942	5780	349
943	5786	343
944	5792	337
945	5797	330
946	5805	324
947	5812	318
948	5819	312
949	5825	306
950	5831	300
951	5840	294
952	5846	288
953	5854	282
954	5862	276
955	5871	270
956	5878	264
957	5884	257
958	5890	251
959	5896	245
960	5902	239
961	5907	233
962	5912	227
963	5920	221
964	5925	214
965	5931	208
966	5937	202
967	5943	196
968	5949	190
969	5954	184
970	5962	178
971	5968	171
972	5973	165
973	5979	159
974	5985	153
975	5990	147
976	5996	141
977	6001	134
978	6006	128
979	6011	122
980	6016	116
981	6021	110
982	6026	104
983	6031	98
984	6035	91
985	6040	85
986	6046	79
987	6054	73
988	6061	67
989	6066	61
990	6071	55
991	6078	49
992	6084	42
993	6092	36
994	6098	30
995	6104	24
996	6110	18
997	6116	12
998	6121	6
999	6128	0
